<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
IGV,20030101,25.17,25.17,25.17,25.17,0
IHT,20030101,1.36,1.36,1.36,1.36,0
IJH,20030101,43.06,43.06,43.06,43.06,0
IJJ,20030101,19.9975,19.9975,19.9975,19.9975,0
IJK,20030101,11.4313,11.4313,11.4313,11.4313,0
IJR,20030101,16.2255,16.2255,16.2255,16.2255,0
IJS,20030101,18.1875,18.1875,18.1875,18.1875,0
ILF,20030101,7.318,7.318,7.318,7.318,0
IMO,20030101,9.557,9.557,9.557,9.557,0
IOO,20030101,22.15,22.15,22.15,22.15,0
IVE,20030101,43.03,43.03,43.03,43.03,0
IVV,20030101,88.35,88.35,88.35,88.35,0
IVW,20030101,11.2275,11.2275,11.2275,11.2275,0
IWB,20030101,46.72,46.72,46.72,46.72,0
IWD,20030101,45.86,45.86,45.86,45.86,0
IWF,20030101,36.36,36.36,36.36,36.36,0
IWM,20030101,37.905,37.905,37.905,37.905,0
IWN,20030101,37.13,37.13,37.13,37.13,0
IWO,20030101,39.85,39.85,39.85,39.85,0
IWP,20030101,25.85,25.85,25.85,25.85,0
IWR,20030101,12.1575,12.1575,12.1575,12.1575,0
IWS,20030101,22.827,22.827,22.827,22.827,0
IWV,20030101,48.96,48.96,48.96,48.96,0
IXC,20030101,15.218,15.218,15.218,15.218,0
IXG,20030101,42.86,42.86,42.86,42.86,0
IXJ,20030101,20.19,20.19,20.19,20.19,0
IXN,20030101,34.44,34.44,34.44,34.44,0
IXP,20030101,36.74,36.74,36.74,36.74,0
IYC,20030101,41.88,41.88,41.88,41.88,0
IYE,20030101,13.124,13.124,13.124,13.124,0
IYF,20030101,68.21,68.21,68.21,68.21,0
IYG,20030101,78.35,78.35,78.35,78.35,0
IYH,20030101,48.53,48.53,48.53,48.53,0
IYJ,20030101,37.43,37.43,37.43,37.43,0
IYK,20030101,40.65,40.65,40.65,40.65,0
IYM,20030101,34.43,34.43,34.43,34.43,0
IYR,20030101,38.65,38.65,38.65,38.65,0
IYW,20030101,32.5,32.5,32.5,32.5,0
IYY,20030101,41.02,41.02,41.02,41.02,0
IYZ,20030101,19.06,19.06,19.06,19.06,0
JOB,20030101,5,5,5,5,0
LGL,20030101,7.75,7.75,7.75,7.75,0
LNG,20030101,0.64,0.64,0.64,0.64,0
